                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.16022,                0.13292,                 1.3583,                0.99925,                      1,                  0.995,                0.79278,                0.86293,                0.32907,                 2.2919,             0.00024772,             0.00024772,             0.00024772
                     89,                0.15829,                0.12976,                 1.3549,                 0.9993,                      1,                  0.995,                 0.7944,                0.85693,                0.33218,                 2.3466,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.1555,                0.12922,                  1.361,                0.99933,                      1,                  0.995,                0.79565,                0.85242,                0.32006,                 2.3275,             0.00021471,             0.00021471,             0.00021471
                     91,                0.13767,                 0.1178,                 1.3086,                0.99961,                      1,                  0.995,                0.78794,                0.84606,                0.30113,                 2.2278,             0.00019821,             0.00019821,             0.00019821
                     92,                0.13456,                0.11504,                 1.3192,                 0.9996,                      1,                  0.995,                0.80213,                0.84451,                  0.317,                 2.3215,              0.0001817,              0.0001817,              0.0001817
                     93,                0.13415,                0.11416,                 1.3201,                0.99963,                      1,                  0.995,                0.79717,                0.84843,                0.32594,                 2.3505,              0.0001652,              0.0001652,              0.0001652
                     94,                0.13247,                0.11191,                 1.3259,                0.99961,                      1,                  0.995,                0.79449,                0.85006,                0.31577,                 2.4314,              0.0001487,              0.0001487,              0.0001487
                     95,                0.13104,                0.11251,                 1.3162,                0.99956,                      1,                  0.995,                0.79864,                0.84586,                 0.3177,                  2.395,             0.00013219,             0.00013219,             0.00013219
                     96,                0.12909,                0.11057,                 1.3199,                0.99964,                      1,                  0.995,                0.80667,                0.84291,                0.32337,                 2.4127,             0.00011569,             0.00011569,             0.00011569
                     97,                0.12814,                0.10834,                  1.313,                0.99965,                      1,                  0.995,                 0.8004,                0.85526,                0.32857,                 2.3325,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.12923,                0.10854,                 1.3241,                 0.9996,                      1,                  0.995,                0.80544,                0.84369,                0.31729,                 2.3102,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.12706,                0.10545,                 1.3225,                0.99962,                      1,                  0.995,                0.80227,                0.84409,                0.31196,                 2.2848,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.12632,                0.10473,                 1.3118,                 0.9996,                      1,                  0.995,                0.80563,                0.84373,                0.31314,                 2.2917,             4.9677e-05,             4.9677e-05,             4.9677e-05
